start;end;mwhPrice;kwhPrice
00:00;00:10;82.05;0.08205
00:10;00:20;74.05;0.07405
00:20;00:30;66.05;0.06605
00:30;00:40;49.12;0.04912
00:40;00:50;41.865;0.041865
00:50;01:00;34.61;0.03461
01:00;01:10;67.95;0.06795
01:10;01:20;64.025;0.064025
01:20;01:30;60.1;0.0601
01:30;01:40;62.45;0.06245
01:40;01:50;58.245;0.058245
01:50;02:00;54.04;0.05404
02:00;02:10;61.96;0.06196
02:10;02:20;61.455;0.061455
02:20;02:30;60.95;0.06095
02:30;02:40;52.07;0.05207
02:40;02:50;43.385;0.043385
02:50;03:00;34.7;0.0347
03:00;03:10;60.93;0.06093
03:10;03:20;59.915;0.059915
03:20;03:30;58.9;0.0589
03:30;03:40;52.08;0.05208
03:40;03:50;51.08;0.05108
03:50;04:00;50.08;0.05008
04:00;04:10;49.09;0.04909
04:10;04:20;49.09;0.04909
04:20;04:30;49.09;0.04909
04:30;04:40;49.1;0.0491
04:40;04:50;53.015;0.053015
04:50;05:00;56.93;0.05693
05:00;05:10;45;0.045
05:10;05:20;46.54;0.04654
05:20;05:30;48.08;0.04808
05:30;05:40;58.92;0.05892
05:40;05:50;61.44;0.06144
05:50;06:00;63.96;0.06396
06:00;06:10;46.07;0.04607
06:10;06:20;48.08;0.04808
06:20;06:30;50.09;0.05009
06:30;06:40;58.92;0.05892
06:40;06:50;60.43;0.06043
06:50;07:00;61.94;0.06194
07:00;07:10;49.25;0.04925
07:10;07:20;53.645;0.053645
07:20;07:30;58.04;0.05804
07:30;07:40;63.93;0.06393
07:40;07:50;71.975;0.071975
07:50;08:00;80.02;0.08002
08:00;08:10;67.02;0.06702
08:10;08:20;68.31;0.06831
08:20;08:30;69.6;0.0696
08:30;08:40;79.15;0.07915
08:40;08:50;80.475;0.080475
08:50;09:00;81.8;0.0818
09:00;09:10;74.85;0.07485
09:10;09:20;75.55;0.07555
09:20;09:30;76.25;0.07625
09:30;09:40;65.2;0.0652
09:40;09:50;60.64;0.06064
09:50;10:00;56.08;0.05608
10:00;10:10;75.75;0.07575
10:10;10:20;73.33;0.07333
10:20;10:30;70.91;0.07091
10:30;10:40;59.1;0.0591
10:40;10:50;55.585;0.055585
10:50;11:00;52.07;0.05207
11:00;11:10;72.3;0.0723
11:10;11:20;69.62;0.06962
11:20;11:30;66.94;0.06694
11:30;11:40;61.94;0.06194
11:40;11:50;55.985;0.055985
11:50;12:00;50.03;0.05003
12:00;12:10;78.18;0.07818
12:10;12:20;71.56;0.07156
12:20;12:30;64.94;0.06494
12:30;12:40;54.06;0.05406
12:40;12:50;40.95;0.04095
12:50;13:00;27.84;0.02784
13:00;13:10;62.97;0.06297
13:10;13:20;60.45;0.06045
13:20;13:30;57.93;0.05793
13:30;13:40;32.1;0.0321
13:40;13:50;28.025;0.028025
13:50;14:00;23.95;0.02395
14:00;14:10;51;0.051
14:10;14:20;43.575;0.043575
14:20;14:30;36.15;0.03615
14:30;14:40;50.97;0.05097
14:40;14:50;50.45;0.05045
14:50;15:00;49.93;0.04993
15:00;15:10;48.91;0.04891
15:10;15:20;42.455;0.042455
15:20;15:30;36;0.036
15:30;15:40;53.93;0.05393
15:40;15:50;54.14;0.05414
15:50;16:00;54.35;0.05435
16:00;16:10;39.97;0.03997
16:10;16:20;42.535;0.042535
16:20;16:30;45.1;0.0451
16:30;16:40;55.09;0.05509
16:40;16:50;61.995;0.061995
16:50;17:00;68.9;0.0689
17:00;17:10;35.03;0.03503
17:10;17:20;44.04;0.04404
17:20;17:30;53.05;0.05305
17:30;17:40;71.93;0.07193
17:40;17:50;75.445;0.075445
17:50;18:00;78.96;0.07896
18:00;18:10;45.05;0.04505
18:10;18:20;51.65;0.05165
18:20;18:30;58.25;0.05825
18:30;18:40;72.9;0.0729
18:40;18:50;76.45;0.07645
18:50;19:00;80;0.08
19:00;19:10;60.1;0.0601
19:10;19:20;67.125;0.067125
19:20;19:30;74.15;0.07415
19:30;19:40;72.35;0.07235
19:40;19:50;70.72;0.07072
19:50;20:00;69.09;0.06909
20:00;20:10;84.54;0.08454
20:10;20:20;82.695;0.082695
20:20;20:30;80.85;0.08085
20:30;20:40;65.05;0.06505
20:40;20:50;51.57;0.05157
20:50;21:00;38.09;0.03809
21:00;21:10;80.87;0.08087
21:10;21:20;70.985;0.070985
21:20;21:30;61.1;0.0611
21:30;21:40;57.08;0.05708
21:40;21:50;55.045;0.055045
21:50;22:00;53.01;0.05301
22:00;22:10;74.76;0.07476
22:10;22:20;68.73;0.06873
22:20;22:30;62.7;0.0627
22:30;22:40;50.05;0.05005
22:40;22:50;42.235;0.042235
22:50;23:00;34.42;0.03442
23:00;23:10;70.44;0.07044
23:10;23:20;65.175;0.065175
23:20;23:30;59.91;0.05991
23:30;23:40;46.09;0.04609
23:40;23:50;40.29;0.04029
23:50;00:00;34.49;0.03449
